COMMUNEID;VILLEID;DESIGNATION;CODE
447;188;COM. HAMADY OUNARE;0
448;189;COM. SINTHIOU BAMANBE-BANADJI;0
449;190;COM. ODOBERE;0
450;191;BOKILADJI;1
451;191;ORKADIERE;2
452;191;AOURE;3
453;192;NDENDORY;1
454;192;OURO SIDY;2
455;193;COM. RANEROU;0
456;194;LOUGRE-THIOLY;1
457;194;VELINGARA;2
458;194;OUDALAYE;3
459;195;COM. KAFFRINE;0
460;196;COM. N?GANDA;0
461;197;BOULEL;1
462;197;GNIBY;2
463;197;KAHI;3
464;198;DIOKOUL M?BELBOUCK;1
465;198;KATHIOTE;2
466;198;MEDINATOUL SALAM 2;3
467;198;DIAMAGADIO;4
468;199;COM .BIRKELANE;0
469;200;KEUR M?BOUKI;1
470;200;TOUBA M?BELLA;2
471;200;DIAMAL;3
472;201;MABO;1
473;201;N?DIOGNICK;2
474;201;MBEULEUP;3
475;201;SEGRE GATTA;4
476;202;COM. KOUNGHEUL;0
477;203;SALY ESCALE;1
478;203;FASS THIEKENE;2
479;203;IDA MOURIDE;3
480;204;LOUR ESCALE;1
481;204;RIBOT ESCALE;2
482;205;GAINTHE PATHE;1
483;205;MAKA YOP;2
484;205;MISSIRAH WADENE;3
485;206;COM. MALEM HODDAR;0
486;207;DAROU MINAM II;1
487;207;N?DIOUM  N?GAINTH;2
488;207;KHELCOM;3
489;207;NDIOBENE SAMBA LAMO;4
490;208;DIANKE SOUF;1
491;208;SAGNA;2
492;209;COM .KEDOUGOU;0
493;210;BANDAFASSI;1
494;210;TOMBORONKOTO;2
495;210;DINDIFELO;3
496;210;NINEFECHA;4
497;211;DIMBOLI;1
498;211;FONGOLEMBI;2
499;212;COM. SALEMATA;0
500;213;DAKATELI;1
501;213;KEVOYE;2
502;214;DAR SALAM;1
503;214;ETHIOLO;2
504;214;OUBADJI;3
505;215;COM. SARAYA;0
506;216;MEDINA BAFFE;1
507;216;BEMBOU;2
508;217;KHOSSANTO;1
509;217;MISSIRAH SIRIMANA;2
510;217;SABODALA;3
511;218;COM. SEDHIOU;0
512;219;COM. MARSASSOUM;0
513;220;COM. DIANAH MALARY;0
514;221;DIENDE;1
515;221;SAKAR;2
516;221;DIANNAH BA;3
517;221;KOUSSY;4
518;221;OUDOUCAR;5
519;221;SAMA KANTA PEULH;6
520;222;BENET- BIJINI;1
521;222;SANSAMBA;2
522;222;DJIBABOUYA;3
523;223;BAMBALI;1
524;223;DJIREDJI;2
525;224;COM. BOUNKILING;0
526;225;COM. MADINA WANDIFA;0
527;226;COM. NDIAMACOUTA;0
528;227;BOGHAL;1
529;227;TANKON;2
530;227;DJINANY;3
531;227;NDIAMALATHIEL;4
532;228;BONA;1
533;228;DIACOUNDA;2
534;228;INOR;3
535;228;KANDION MANGANA;4
536;229;DIAROUME;1
537;229;DIAMBATY;2
538;229;FAOUNE;3
539;230;COM. GOUDOMP;0
540;231;COM. DIATTACOUNDA;0
541;232;COM. SAMINE;0
542;233;COM. TANAFF;0
543;234;DJIBANAR;1
544;234;KAOUR;2
545;234;MANGAROUNGOU SANTO;3
546;234;SIMBADI BALANTE;4
547;234;YARANG BALANTE;5
548;235;KARANTABA;1
549;235;KOLIBANTANG;2
550;236;NIAGHA;1
551;236;SIMBANDI BRASSOU;2
552;236;BAGHERE;3
553;236;DIOUBOUDOU;4
